label,nrmse
0.1_-5.0,0.0028718459740002767
0.1_-4.9,0.0028846841974605546
0.1_-4.8,0.0028772821433266775
0.1_-4.7,0.002876662374304785
0.1_-4.6,0.002875499335990103
0.1_-4.5,0.0028701435574571446
0.1_-4.4,0.0028743248519091428
0.1_-4.3,0.002867692960449935
0.1_-4.2,0.002876839572170234
0.1_-4.1,0.0028642285129080736
0.1_-4.0,0.0028511607481718788
0.1_-3.9,0.002865580283701377
0.1_-3.8,0.0028759113047836515
0.1_-3.7,0.0028663082905604396
0.1_-3.6,0.002875100629313192
0.1_-3.5,0.0028749607201793005
0.1_-3.4,0.002869812898619209
0.1_-3.3,0.002868799016944482
0.1_-3.2,0.0028615615035797017
0.1_-3.1,0.0028674821912019212
0.1_-3.0,0.002869403577534753
0.1_-2.9,0.002869281407188635
0.1_-2.8,0.0028598960860284363
0.1_-2.7,0.0028726754304001885
0.1_-2.6,0.002872916647936099
0.1_-2.5,0.0028669314422137
0.1_-2.4,0.0028805500237939585
0.1_-2.3,0.002860126412193395
0.1_-2.2,0.002871031950149109
0.1_-2.1,0.0028613799091097326
0.1_-2.0,0.0028727361239789763
0.1_-1.9,0.002886639182583783
0.1_-1.8,0.002878564836274417
0.1_-1.7,0.0028691896673975403
0.1_-1.6,0.002866520129564676
0.1_-1.5,0.00288835954470924
0.1_-1.4,0.002872747013805025
0.1_-1.3,0.002882764691647748
0.1_-1.2,0.002884585188957121
0.1_-1.1,0.0028759718984157816
0.1_-1.0,0.0028839689900055417
0.1_-0.9,0.0028778145869105152
0.1_-0.8,0.0028709693753906263
0.1_-0.7,0.002902135734036215
0.1_-0.6,0.0028889193672835497
0.1_-0.5,0.002877314155198387
0.1_-0.4,0.0028968229059935916
0.1_-0.3,0.0028893754966681
0.1_-0.2,0.0028831534456177027
0.1_-0.1,0.0029063810215531104
0.1_-0.0,0.0028987047993121167
0.1_0.1,0.002890881999627384
0.1_0.2,0.002894272988040538
0.1_0.3,0.002900824513207013
0.1_0.4,0.002891470235397559
0.1_0.5,0.0028975422848346102
0.1_0.6,0.002894062866702023
0.1_0.7,0.0029029578373140157
0.1_0.8,0.002921521300084506
0.1_0.9,0.0029121508848205593
0.1_1.0,0.002910160911128053
0.1_1.1,0.0028956491552701046
0.1_1.2,0.0029271265482608993
0.1_1.3,0.0029225556789642445
0.1_1.4,0.002917904886680871
0.1_1.5,0.002908481408875947
0.1_1.6,0.002912333250654017
0.1_1.7,0.0029245176535056083
0.1_1.8,0.0029173039456017015
0.1_1.9,0.002918599897437067
0.1_2.0,0.002923701781906923
0.1_2.1,0.00292568311972465
0.1_2.2,0.0029536386624530236
0.1_2.3,0.0029311674296112955
0.1_2.4,0.002927002464238269
0.1_2.5,0.002924562559906609
0.1_2.6,0.002940073931900513
0.1_2.7,0.002943367166725677
0.1_2.8,0.002944113682701623
0.1_2.9,0.002953038135140867
0.1_3.0,0.002946268726344751
0.1_3.1,0.0029569129430185664
0.1_3.2,0.0029626824287260255
0.1_3.3,0.0029580320593800852
0.1_3.4,0.002964491045295059
0.1_3.5,0.0029782519063503827
0.1_3.6,0.0030518480129698854
0.1_3.7,0.002970931924789696
0.1_3.8,0.0030055626655597256
0.1_3.9,0.002991997946447906
0.1_4.0,0.002982662885725838
0.1_4.1,0.0029868931692933814
0.1_4.2,0.0029858486130970156
0.1_4.3,0.0029868048168033776
0.1_4.4,0.0029951668650881435
0.1_4.5,0.0030117207571343004
0.1_4.6,0.002988354854157331
0.1_4.7,0.0029921214999136894
0.1_4.8,0.003024526350752418
0.1_4.9,0.003001283044812922
0.2_-5.0,0.002868878722738184
0.2_-4.9,0.0028812588779685653
0.2_-4.8,0.0028740023955246886
0.2_-4.7,0.002865468044657792
0.2_-4.6,0.002867247414016118
0.2_-4.5,0.0028778856954684486
0.2_-4.4,0.0028687262467501262
0.2_-4.3,0.0028695528749591546
0.2_-4.2,0.002869272093037278
0.2_-4.1,0.002865819134720939
0.2_-4.0,0.0028772033613746395
0.2_-3.9,0.0028736789123850843
0.2_-3.8,0.0028789027733755685
0.2_-3.7,0.002885213448765547
0.2_-3.6,0.0028745350791401286
0.2_-3.5,0.002883463066923811
0.2_-3.4,0.0028825198690442875
0.2_-3.3,0.0028718147206231986
0.2_-3.2,0.002871453332184298
0.2_-3.1,0.002881209037514398
0.2_-3.0,0.0028706590808010484
0.2_-2.9,0.002866853499726133
0.2_-2.8,0.0028668102947672735
0.2_-2.7,0.002871548857584913
0.2_-2.6,0.0028812489520547483
0.2_-2.5,0.002887770499707934
0.2_-2.4,0.0028901288538729546
0.2_-2.3,0.0028877754680487954
0.2_-2.2,0.0028833803102439044
0.2_-2.1,0.0028769747558063394
0.2_-2.0,0.002874870810875661
0.2_-1.9,0.00288830256575611
0.2_-1.8,0.0028740928853343384
0.2_-1.7,0.0028708031384745655
0.2_-1.6,0.0028805884131475217
0.2_-1.5,0.002896976106674976
0.2_-1.4,0.002887853335539725
0.2_-1.3,0.0028895092867311707
0.2_-1.2,0.002887756714932422
0.2_-1.1,0.0028950949090065453
0.2_-1.0,0.0028870998244690375
0.2_-0.9,0.002900675897419564
0.2_-0.8,0.0028954019110565116
0.2_-0.7,0.0028838018269001916
0.2_-0.6,0.002882409376957675
0.2_-0.5,0.0028785654371490488
0.2_-0.4,0.002891370017733142
0.2_-0.3,0.002897493890905309
0.2_-0.2,0.002889604585355488
0.2_-0.1,0.002883161891631112
0.2_-0.0,0.002890411690989645
0.2_0.1,0.002893449470581333
0.2_0.2,0.002897477132617697
0.2_0.3,0.002900643187782016
0.2_0.4,0.0028984153441974467
0.2_0.5,0.0028946585479043335
0.2_0.6,0.002903326699567074
0.2_0.7,0.002895483812663251
0.2_0.8,0.0029119500384535936
0.2_0.9,0.0029115626414020633
0.2_1.0,0.0029178012074837713
0.2_1.1,0.002899446552012732
0.2_1.2,0.002896549984102845
0.2_1.3,0.0029136212208818496
0.2_1.4,0.002909426512088574
0.2_1.5,0.002900563954918129
0.2_1.6,0.0029168468827588567
0.2_1.7,0.002905348226814362
0.2_1.8,0.0029189120813012327
0.2_1.9,0.0029103740801846353
0.2_2.0,0.002914864746654897
0.2_2.1,0.0029080500431200957
0.2_2.2,0.002920957793402505
0.2_2.3,0.0029017120037785663
0.2_2.4,0.0029017619091538005
0.2_2.5,0.0029217491916398047
0.2_2.6,0.002906465894670489
0.2_2.7,0.0029172590251687093
0.2_2.8,0.002913869195322274
0.2_2.9,0.0029249675863563802
0.2_3.0,0.0029250617243650307
0.2_3.1,0.0029148031087419066
0.2_3.2,0.0029281107737069018
0.2_3.3,0.00292681916813728
0.2_3.4,0.002908373679896958
0.2_3.5,0.0029289743529086246
0.2_3.6,0.0029195502040284364
0.2_3.7,0.0029192789024963346
0.2_3.8,0.0029267514933463265
0.2_3.9,0.0029159618983122236
0.2_4.0,0.0029539326403178992
0.2_4.1,0.0029220223615612126
0.2_4.2,0.0029246367798173947
0.2_4.3,0.0029143303609346378
0.2_4.4,0.002934471742487649
0.2_4.5,0.0029447899084047015
0.2_4.6,0.002934865509064291
0.2_4.7,0.0029410599160473727
0.2_4.8,0.0029345058285768014
0.2_4.9,0.002940154979756975
0.3_-5.0,0.0028709332703879256
0.3_-4.9,0.0028711848435976563
0.3_-4.8,0.0028847231816855243
0.3_-4.7,0.0028712233003561813
0.3_-4.6,0.0028814521329091325
0.3_-4.5,0.00287061689956934
0.3_-4.4,0.002877936099827082
0.3_-4.3,0.0028772643645524625
0.3_-4.2,0.00288627115319608
0.3_-4.1,0.00286747851559725
0.3_-4.0,0.0028752626719772962
0.3_-3.9,0.002885019388536719
0.3_-3.8,0.0028725987575156857
0.3_-3.7,0.0028793409994820078
0.3_-3.6,0.0028922952490411397
0.3_-3.5,0.0028683374252317256
0.3_-3.4,0.002882562582374188
0.3_-3.3,0.0028875460995407085
0.3_-3.2,0.002881317739853528
0.3_-3.1,0.0028783985183308764
0.3_-3.0,0.002871956529806113
0.3_-2.9,0.002876756900934205
0.3_-2.8,0.002886070300605886
0.3_-2.7,0.0028745814498917694
0.3_-2.6,0.0028750869562215167
0.3_-2.5,0.0028707752167786782
0.3_-2.4,0.002883689774078765
0.3_-2.3,0.002887585964678871
0.3_-2.2,0.0028844759302012906
0.3_-2.1,0.002891532326976244
0.3_-2.0,0.002887753862241574
0.3_-1.9,0.002883970976731819
0.3_-1.8,0.0028917210412921115
0.3_-1.7,0.002876021460205376
0.3_-1.6,0.0028832986098616563
0.3_-1.5,0.002887195064048671
0.3_-1.4,0.0028942332246722925
0.3_-1.3,0.002905921766122557
0.3_-1.2,0.0028841191582588558
0.3_-1.1,0.0028887376194910736
0.3_-1.0,0.0028820758898313275
0.3_-0.9,0.0028857979434244105
0.3_-0.8,0.002894330862228279
0.3_-0.7,0.002883107537868055
0.3_-0.6,0.002887664298561953
0.3_-0.5,0.0028831193920727327
0.3_-0.4,0.0028824076464437857
0.3_-0.3,0.0028761139654558533
0.3_-0.2,0.0028970851761823384
0.3_-0.1,0.0028976758792513555
0.3_-0.0,0.0028894038288506765
0.3_0.1,0.0029048113907746936
0.3_0.2,0.002892857092674523
0.3_0.3,0.0028832094476359572
0.3_0.4,0.0028972467290071598
0.3_0.5,0.002910185491902993
0.3_0.6,0.002908360627707868
0.3_0.7,0.002884588131208043
0.3_0.8,0.00289286196791957
0.3_0.9,0.0028994574077794177
0.3_1.0,0.002908626996992253
0.3_1.1,0.0029035967052711367
0.3_1.2,0.002886221150532761
0.3_1.3,0.002897641287906976
0.3_1.4,0.002890694073615443
0.3_1.5,0.0028954768127792455
0.3_1.6,0.002910892679100021
0.3_1.7,0.002888765268886458
0.3_1.8,0.002895837151063646
0.3_1.9,0.0029199685994246907
0.3_2.0,0.0029044276982873973
0.3_2.1,0.0029159529795529967
0.3_2.2,0.00290316840787915
0.3_2.3,0.002897923087432087
0.3_2.4,0.0028970710128478974
0.3_2.5,0.002926250344388353
0.3_2.6,0.0029037225255183273
0.3_2.7,0.002904720719373577
0.3_2.8,0.00291230536964217
0.3_2.9,0.002917419462379205
0.3_3.0,0.002913036671820378
0.3_3.1,0.002901658058178703
0.3_3.2,0.002908426471485933
0.3_3.3,0.002912792152557523
0.3_3.4,0.0029030258477940637
0.3_3.5,0.002916348156379755
0.3_3.6,0.0029140091024894145
0.3_3.7,0.002914162140478053
0.3_3.8,0.0029202162760395534
0.3_3.9,0.0029324528142639847
0.3_4.0,0.0029135343978877897
0.3_4.1,0.0029249996515525087
0.3_4.2,0.0029217111343759965
0.3_4.3,0.002923485965603345
0.3_4.4,0.0029096527611516556
0.3_4.5,0.002919008529825735
0.3_4.6,0.0029104457665786276
0.3_4.7,0.0029285807525841947
0.3_4.8,0.0029197013606551297
0.3_4.9,0.0029044319436966042
0.4_-5.0,0.002881442728296822
0.4_-4.9,0.00288729500573381
0.4_-4.8,0.002877291375595122
0.4_-4.7,0.002888939081005508
0.4_-4.6,0.0028758423126314775
0.4_-4.5,0.002891071225550684
0.4_-4.4,0.002882752532651794
0.4_-4.3,0.002866487737995423
0.4_-4.2,0.002880041804915033
0.4_-4.1,0.0028944487420648427
0.4_-4.0,0.00287809610410327
0.4_-3.9,0.0028820698551171014
0.4_-3.8,0.00288880193824806
0.4_-3.7,0.0028776182161630885
0.4_-3.6,0.002884130678574508
0.4_-3.5,0.002897586938880803
0.4_-3.4,0.0028797153604216024
0.4_-3.3,0.002874768939033919
0.4_-3.2,0.0028835051455686762
0.4_-3.1,0.0028746054149401262
0.4_-3.0,0.002899824477268122
0.4_-2.9,0.002883232953860402
0.4_-2.8,0.002885643323608759
0.4_-2.7,0.0028887809615438234
0.4_-2.6,0.002881021336397668
0.4_-2.5,0.0028876225630956164
0.4_-2.4,0.002884673524179778
0.4_-2.3,0.0028767603416063946
0.4_-2.2,0.0028887342002993995
0.4_-2.1,0.002884636054321864
0.4_-2.0,0.00288001630661476
0.4_-1.9,0.0028859015571050628
0.4_-1.8,0.0028800741799908393
0.4_-1.7,0.0028929834856793466
0.4_-1.6,0.002895198991634195
0.4_-1.5,0.0028964732069782836
0.4_-1.4,0.002888838265443891
0.4_-1.3,0.0028786375669712736
0.4_-1.2,0.0028744740501441234
0.4_-1.1,0.002896138057597017
0.4_-1.0,0.002889281213799813
0.4_-0.9,0.0028843189591775467
0.4_-0.8,0.002883643124602146
0.4_-0.7,0.002887895291307897
0.4_-0.6,0.0028823051650155936
0.4_-0.5,0.0028702723699359067
0.4_-0.4,0.0029009382378575336
0.4_-0.3,0.0028832083079613656
0.4_-0.2,0.0028901023091815426
0.4_-0.1,0.0028982023183090374
0.4_-0.0,0.0028901240379381656
0.4_0.1,0.0028852747757561335
0.4_0.2,0.0028828078524418357
0.4_0.3,0.0028952452156370146
0.4_0.4,0.0029039620178279743
0.4_0.5,0.00288901129618997
0.4_0.6,0.0029105559899476464
0.4_0.7,0.0028920007469863313
0.4_0.8,0.002913054225662288
0.4_0.9,0.0028789035020188054
0.4_1.0,0.002908868283236235
0.4_1.1,0.002899591862968208
0.4_1.2,0.002904869160358408
0.4_1.3,0.0029077468031328477
0.4_1.4,0.002900083271414437
0.4_1.5,0.0029286067551996366
0.4_1.6,0.002902976355482334
0.4_1.7,0.0029230885286849017
0.4_1.8,0.0029087794775644322
0.4_1.9,0.002905090866887646
0.4_2.0,0.002908679861586978
0.4_2.1,0.002903353839452598
0.4_2.2,0.0028994428485307473
0.4_2.3,0.002908716834434368
0.4_2.4,0.002919544349324916
0.4_2.5,0.0028947872445758073
0.4_2.6,0.002901961397597111
0.4_2.7,0.002898626672283274
0.4_2.8,0.0029127528765907746
0.4_2.9,0.00290122022222268
0.4_3.0,0.002913706918481121
0.4_3.1,0.0029070516513482855
0.4_3.2,0.0028936396762504254
0.4_3.3,0.002910658357995373
0.4_3.4,0.0029143151602722015
0.4_3.5,0.002919815565994135
0.4_3.6,0.0028960467175759997
0.4_3.7,0.0029125398163534575
0.4_3.8,0.002891722080472012
0.4_3.9,0.0029027186001054435
0.4_4.0,0.002907523112406911
0.4_4.1,0.0029052228002397194
0.4_4.2,0.0029018451947965037
0.4_4.3,0.0029211145619196612
0.4_4.4,0.002933946114417937
0.4_4.5,0.002894412259556894
0.4_4.6,0.002912196462486932
0.4_4.7,0.002903627711656226
0.4_4.8,0.002892366139121812
0.4_4.9,0.0029065698732375442
0.5_-5.0,0.0028743969642996154
0.5_-4.9,0.002887656905123262
0.5_-4.8,0.002878648092060934
0.5_-4.7,0.0028829387798823707
0.5_-4.6,0.0028813196918790634
0.5_-4.5,0.0028680445357194455
0.5_-4.4,0.0028799373766353288
0.5_-4.3,0.0028734568060907783
0.5_-4.2,0.002873585857432113
0.5_-4.1,0.002883523483362797
0.5_-4.0,0.0028722187208894212
0.5_-3.9,0.0028710210199830986
0.5_-3.8,0.002892523939311629
0.5_-3.7,0.002889880152578831
0.5_-3.6,0.0028859729548263912
0.5_-3.5,0.0028938031254677078
0.5_-3.4,0.0028891145423820064
0.5_-3.3,0.0028947190578620923
0.5_-3.2,0.002888295122509952
0.5_-3.1,0.002880865439902182
0.5_-3.0,0.0028714906558217498
0.5_-2.9,0.0028945346849901846
0.5_-2.8,0.0028879135647872567
0.5_-2.7,0.002873580576665028
0.5_-2.6,0.002884624625633144
0.5_-2.5,0.002886768729367383
0.5_-2.4,0.002879511337646803
0.5_-2.3,0.002890579542733068
0.5_-2.2,0.0028859120467088946
0.5_-2.1,0.0029103772151186343
0.5_-2.0,0.0028776062747461165
0.5_-1.9,0.0029070124902296083
0.5_-1.8,0.002879854618527432
0.5_-1.7,0.0028875275360022165
0.5_-1.6,0.0028793589120419353
0.5_-1.5,0.002892425424751597
0.5_-1.4,0.002894176736488475
0.5_-1.3,0.002901304667687456
0.5_-1.2,0.002875137896091106
0.5_-1.1,0.002885539541527123
0.5_-1.0,0.0028850063192416733
0.5_-0.9,0.002877617918905547
0.5_-0.8,0.002891519474784576
0.5_-0.7,0.0028997553537013355
0.5_-0.6,0.0029111849437895073
0.5_-0.5,0.002883540869579527
0.5_-0.4,0.002889645305164439
0.5_-0.3,0.0028900794896563873
0.5_-0.2,0.0028898435306397205
0.5_-0.1,0.002881435448417634
0.5_-0.0,0.0028974868250579633
0.5_0.1,0.0028992417437417413
0.5_0.2,0.0028808456923839687
0.5_0.3,0.002897893141104587
0.5_0.4,0.002891877767278289
0.5_0.5,0.0028837680945922005
0.5_0.6,0.0028971953441607494
0.5_0.7,0.002891552626855938
0.5_0.8,0.0028876994502294367
0.5_0.9,0.002886620531580583
0.5_1.0,0.0029026740059261468
0.5_1.1,0.0029008032900815594
0.5_1.2,0.002904559938843662
0.5_1.3,0.0028944276850209707
0.5_1.4,0.0028942187224233504
0.5_1.5,0.0029075048830600023
0.5_1.6,0.0029057364335025627
0.5_1.7,0.002884729556048557
0.5_1.8,0.0029158142655502763
0.5_1.9,0.0028812800990321787
0.5_2.0,0.0029058216538071116
0.5_2.1,0.002901331630088952
0.5_2.2,0.002900051255403768
0.5_2.3,0.0028906315690001567
0.5_2.4,0.002903606792058055
0.5_2.5,0.0029050379594538264
0.5_2.6,0.002897927794596071
0.5_2.7,0.002918583681855694
0.5_2.8,0.002895401368845052
0.5_2.9,0.0029135042795792564
0.5_3.0,0.002894518240267593
0.5_3.1,0.002885625342587855
0.5_3.2,0.0029085894262156223
0.5_3.3,0.0028899112406240504
0.5_3.4,0.002889354695357426
0.5_3.5,0.002914502886348135
0.5_3.6,0.0029114075926612868
0.5_3.7,0.002885258818825107
0.5_3.8,0.00289671047796605
0.5_3.9,0.0029046894352994274
0.5_4.0,0.0028887675387023262
0.5_4.1,0.0028998948831072007
0.5_4.2,0.0029109492406265702
0.5_4.3,0.002916034761903823
0.5_4.4,0.0029246503275575115
0.5_4.5,0.002909343543105366
0.5_4.6,0.0029327968422839094
0.5_4.7,0.002903303628708057
0.5_4.8,0.0029028204552327135
0.5_4.9,0.0029129592820749425
0.6_-5.0,0.002879429284904271
0.6_-4.9,0.002878224529718645
0.6_-4.8,0.0028821583245610153
0.6_-4.7,0.0028805956432774856
0.6_-4.6,0.002890929803481138
0.6_-4.5,0.0028754817763495142
0.6_-4.4,0.0028819074294105795
0.6_-4.3,0.0028867072043956047
0.6_-4.2,0.002870549034485649
0.6_-4.1,0.002889348441252472
0.6_-4.0,0.00288458675593835
0.6_-3.9,0.0028833172697382684
0.6_-3.8,0.002891866371268267
0.6_-3.7,0.0028907672775836694
0.6_-3.6,0.0028810878334436336
0.6_-3.5,0.0028846677477018475
0.6_-3.4,0.0028850045295837233
0.6_-3.3,0.0028880504072255056
0.6_-3.2,0.002898940532814461
0.6_-3.1,0.002893919930129189
0.6_-3.0,0.002886645548513211
0.6_-2.9,0.0028892265024620845
0.6_-2.8,0.0028814303185517184
0.6_-2.7,0.002900253985444795
0.6_-2.6,0.002900292793768022
0.6_-2.5,0.0028871230357873316
0.6_-2.4,0.0028834438275044307
0.6_-2.3,0.0028874204753755878
0.6_-2.2,0.002879567245131212
0.6_-2.1,0.0028864845604112226
0.6_-2.0,0.00288860610968921
0.6_-1.9,0.0028848138526078966
0.6_-1.8,0.002892015427333098
0.6_-1.7,0.0028844637998875293
0.6_-1.6,0.0028936178833491736
0.6_-1.5,0.002886154788083626
0.6_-1.4,0.002894188483601389
0.6_-1.3,0.002886419921709853
0.6_-1.2,0.0028931272906390073
0.6_-1.1,0.0028925933228949345
0.6_-1.0,0.0028966049320981913
0.6_-0.9,0.002896024530607809
0.6_-0.8,0.0028876555546538765
0.6_-0.7,0.002886733270508165
0.6_-0.6,0.0029024699056562292
0.6_-0.5,0.0028948334456469203
0.6_-0.4,0.0028820413749000642
0.6_-0.3,0.002907597701049881
0.6_-0.2,0.002880478513374934
0.6_-0.1,0.002897089693912401
0.6_-0.0,0.002888939944896362
0.6_0.1,0.002898211916285229
0.6_0.2,0.002890514173500334
0.6_0.3,0.0028786255415095903
0.6_0.4,0.002906965556390942
0.6_0.5,0.002896189161917206
0.6_0.6,0.0029016172043499953
0.6_0.7,0.002890880898749735
0.6_0.8,0.0029009486099877404
0.6_0.9,0.002893188395382427
0.6_1.0,0.0029028925718771518
0.6_1.1,0.0028820447500206275
0.6_1.2,0.0029109518661242853
0.6_1.3,0.0028897376200896995
0.6_1.4,0.00290886665805841
0.6_1.5,0.002900425137847547
0.6_1.6,0.002908779688551369
0.6_1.7,0.0028968473265645624
0.6_1.8,0.0028931350976332663
0.6_1.9,0.0029014453695693798
0.6_2.0,0.002889631185302595
0.6_2.1,0.002891918683060566
0.6_2.2,0.002895500789071775
0.6_2.3,0.002921268828168507
0.6_2.4,0.002904075601355651
0.6_2.5,0.0029076857273270893
0.6_2.6,0.002888123664435303
0.6_2.7,0.002900582430177267
0.6_2.8,0.002904438547117923
0.6_2.9,0.002901267795625199
0.6_3.0,0.0029093788336149707
0.6_3.1,0.0028904749662525763
0.6_3.2,0.002902466037026206
0.6_3.3,0.0028891753747842972
0.6_3.4,0.002903081453635443
0.6_3.5,0.0029046400105750977
0.6_3.6,0.0028975177465579583
0.6_3.7,0.002919033548102614
0.6_3.8,0.002915934601920945
0.6_3.9,0.0029150648828128816
0.6_4.0,0.00289648844015345
0.6_4.1,0.0029190133630934384
0.6_4.2,0.002914139446293716
0.6_4.3,0.0028958450616434553
0.6_4.4,0.00291018384560903
0.6_4.5,0.002907778702615431
0.6_4.6,0.0029017878790942885
0.6_4.7,0.002896865085221174
0.6_4.8,0.002897893108830256
0.6_4.9,0.002900029950196163
0.7_-5.0,0.0028968671527738253
0.7_-4.9,0.0028826018785761826
0.7_-4.8,0.002876415120485034
0.7_-4.7,0.0028773364504271703
0.7_-4.6,0.002896054792207885
0.7_-4.5,0.0028813607032483995
0.7_-4.4,0.0028841123888212147
0.7_-4.3,0.0028818281747386596
0.7_-4.2,0.0028867090603125222
0.7_-4.1,0.002890469898658876
0.7_-4.0,0.002890031656248266
0.7_-3.9,0.002885078726643272
0.7_-3.8,0.002883229954195546
0.7_-3.7,0.002906943925499765
0.7_-3.6,0.0028885729153265275
0.7_-3.5,0.0028833846898881485
0.7_-3.4,0.002891320831682356
0.7_-3.3,0.002878563586541315
0.7_-3.2,0.0028739948400631024
0.7_-3.1,0.002891456828259068
0.7_-3.0,0.0028835853444006063
0.7_-2.9,0.002892278879972167
0.7_-2.8,0.0028866855430935943
0.7_-2.7,0.00288259755276839
0.7_-2.6,0.0028807419494410362
0.7_-2.5,0.002885803482591092
0.7_-2.4,0.0028870276097383313
0.7_-2.3,0.0028906215542945507
0.7_-2.2,0.00288140183048575
0.7_-2.1,0.0028790224736234844
0.7_-2.0,0.0028870763070920624
0.7_-1.9,0.0029005001632338534
0.7_-1.8,0.002895014736244195
0.7_-1.7,0.0028862089060260583
0.7_-1.6,0.002888149804763683
0.7_-1.5,0.0028896681636474846
0.7_-1.4,0.0028934513658702234
0.7_-1.3,0.002888346293698079
0.7_-1.2,0.0028920729732220696
0.7_-1.1,0.0028807902214120352
0.7_-1.0,0.002898019776880421
0.7_-0.9,0.002893424111726272
0.7_-0.8,0.002894358846723584
0.7_-0.7,0.002893592640836441
0.7_-0.6,0.0028981240164376297
0.7_-0.5,0.002890661896791797
0.7_-0.4,0.0028828339405195776
0.7_-0.3,0.0029086787474109066
0.7_-0.2,0.0028905205886181505
0.7_-0.1,0.0028889445432364294
0.7_-0.0,0.002890353543760859
0.7_0.1,0.0028906460793991394
0.7_0.2,0.0028894945071379764
0.7_0.3,0.002891966171672128
0.7_0.4,0.0028861861936229517
0.7_0.5,0.002908526682220732
0.7_0.6,0.002891696526503705
0.7_0.7,0.0028987790760302986
0.7_0.8,0.0029022431825895603
0.7_0.9,0.0029052056328436934
0.7_1.0,0.002897176021209848
0.7_1.1,0.0029036637401364004
0.7_1.2,0.0029010730579613155
