label,nrmse
0.5-0.5-0.5-0.5,0.002889277364348024
0.5-0.5-0.5-1.0,0.002887596537693707
0.5-0.5-0.5-1.5,0.002894931428889139
0.5-0.5-0.5-2.0,0.0028934365071489176
0.5-0.5-0.5-2.5,0.0028911979220980384
0.5-0.5-0.5-3.0,0.0028916614502597442
0.5-0.5-0.5-3.5,0.0028900733619903257
0.5-0.5-0.5-4.0,0.002892431036494392
0.5-0.5-0.5-4.5,0.0028844920682822373
0.5-0.5-1.0-0.5,0.0028965141284287956
0.5-0.5-1.0-1.0,0.0028972691973719027
0.5-0.5-1.0-1.5,0.0029021467091642065
0.5-0.5-1.0-2.0,0.002888021323988827
0.5-0.5-1.0-2.5,0.0029071309955955803
0.5-0.5-1.0-3.0,0.002884437201369502
0.5-0.5-1.0-3.5,0.0029001375017373566
0.5-0.5-1.0-4.0,0.002881821140665819
0.5-0.5-1.0-4.5,0.0029014523782901406
0.5-0.5-1.5-0.5,0.002876569889304807
0.5-0.5-1.5-1.0,0.002899795566697285
0.5-0.5-1.5-1.5,0.002908490557195586
0.5-0.5-1.5-2.0,0.0028798417039122316
0.5-0.5-1.5-2.5,0.0028932941169551624
0.5-0.5-1.5-3.0,0.0029013334874134203
0.5-0.5-1.5-3.5,0.0028867968842800455
0.5-0.5-1.5-4.0,0.0028948517971926816
0.5-0.5-1.5-4.5,0.002891319408923326
0.5-0.5-2.0-0.5,0.00288440401942751
0.5-0.5-2.0-1.0,0.002889723133647233
0.5-0.5-2.0-1.5,0.002890685195233617
0.5-0.5-2.0-2.0,0.002892257815000546
0.5-0.5-2.0-2.5,0.002895542328834519
0.5-0.5-2.0-3.0,0.0028874995728058275
0.5-0.5-2.0-3.5,0.0028936875632311117
0.5-0.5-2.0-4.0,0.0028970072201682786
0.5-0.5-2.0-4.5,0.002909235615016385
0.5-0.5-2.5-0.5,0.0028848592012666765
0.5-0.5-2.5-1.0,0.0029002966836900483
0.5-0.5-2.5-1.5,0.002905842805479941
0.5-0.5-2.5-2.0,0.0028917763337574817
0.5-0.5-2.5-2.5,0.0029024978769588185
0.5-0.5-2.5-3.0,0.0028897646014088407
0.5-0.5-2.5-3.5,0.0028840207485781202
0.5-0.5-2.5-4.0,0.0028839293699325246
0.5-0.5-2.5-4.5,0.0029008823216141928
0.5-0.5-3.0-0.5,0.002899076884813571
0.5-0.5-3.0-1.0,0.002888692634325092
0.5-0.5-3.0-1.5,0.0028887671597100767
0.5-0.5-3.0-2.0,0.002882455910954957
0.5-0.5-3.0-2.5,0.002874543654681487
0.5-0.5-3.0-3.0,0.0028970192055839646
0.5-0.5-3.0-3.5,0.0028910870013133514
0.5-0.5-3.0-4.0,0.002902968144843569
0.5-0.5-3.0-4.5,0.002877944950052012
0.5-0.5-3.5-0.5,0.002894381985643898
0.5-0.5-3.5-1.0,0.0028868638261452264
0.5-0.5-3.5-1.5,0.0028907200081678547
0.5-0.5-3.5-2.0,0.002902127468997185
0.5-0.5-3.5-2.5,0.0028959572909771944
0.5-0.5-3.5-3.0,0.0028845328490182255
0.5-0.5-3.5-3.5,0.00289991928779033
0.5-0.5-3.5-4.0,0.0028952914517069318
0.5-0.5-3.5-4.5,0.002880843596862408
0.5-0.5-4.0-0.5,0.0028952766985168737
0.5-0.5-4.0-1.0,0.002903201878505468
0.5-0.5-4.0-1.5,0.0028939850447946627
0.5-0.5-4.0-2.0,0.00289563362067133
0.5-0.5-4.0-2.5,0.0028830413976848246
0.5-0.5-4.0-3.0,0.002891349238096319
0.5-0.5-4.0-3.5,0.0028846125700168566
0.5-0.5-4.0-4.0,0.002898054304476759
0.5-0.5-4.0-4.5,0.0029019352852898655
0.5-0.5-4.5-0.5,0.0028902556388975247
0.5-0.5-4.5-1.0,0.0028959324439585894
0.5-0.5-4.5-1.5,0.0028743327861553477
0.5-0.5-4.5-2.0,0.002897019656863777
0.5-0.5-4.5-2.5,0.0028880141784083276
0.5-0.5-4.5-3.0,0.0028953932541406634
0.5-0.5-4.5-3.5,0.002900079308026946
0.5-0.5-4.5-4.0,0.002897412478322919
0.5-0.5-4.5-4.5,0.0028833199130150694
0.5-1.0-0.5-0.5,0.0029019283498296134
0.5-1.0-0.5-1.0,0.0028892721581739245
0.5-1.0-0.5-1.5,0.0028944611497259878
0.5-1.0-0.5-2.0,0.002895821990797981
0.5-1.0-0.5-2.5,0.002889037394323221
0.5-1.0-0.5-3.0,0.002879999433994598
0.5-1.0-0.5-3.5,0.002892009121504781
0.5-1.0-0.5-4.0,0.0029004042959483284
0.5-1.0-0.5-4.5,0.0028881544485168933
0.5-1.0-1.0-0.5,0.0028872201711070133
0.5-1.0-1.0-1.0,0.0028928742664970624
0.5-1.0-1.0-1.5,0.0028899049407581133
0.5-1.0-1.0-2.0,0.002895234808209793
0.5-1.0-1.0-2.5,0.002885411853440284
